"ID","Hits","Indirect hits","Conflicts"
"K01060","0","0","0"
"K01734","0","0","0"
"K00362","0","0","0"
"K03823","0","0","0"
"K00529","0","0","0"
"K10106","0","0","0"
"K16514","0","0","0"
"K19267","0","0","0"
"K00973","0","0","0"
"K00806","0","0","0"
"K04101","0","0","0"
"K01710","0","0","0"
"K03781","0","0","0"
"K05954","0","0","0"
"K03518","0","0","0"
"K01443","0","0","0"
"K16873","0","0","0"
"K10703","0","0","0"
"K14977","0","0","0"
"K10622","0","0","0"
"K11778","0","0","0"
"K14083","0","0","0"
"K01426","0","0","0"
"K00057","0","0","0"
"K00587","0","0","0"
"K00372","0","0","0"
"K20941","0","0","0"
"K05357","0","0","0"
"K10218","0","0","0"
"K03562","0","0","0"
"K00944","0","0","0"
"K10249","0","0","0"
"K01004","0","0","0"
"K15890","0","0","0"
"K15054","0","0","0"
"K01820","0","0","0"
"K08658","0","0","0"
"K06013","0","0","0"
"K00023","0","0","0"
"K18030","0","0","0"
"K18335","0","0","0"
"K06606","0","0","0"
"K16841","0","0","0"
