"ID","Hits","Indirect hits","Conflicts"
"K00416","3","0","3"
"K00760","3","0","1"
"K01195","3","0","0"
"K03961","3","0","3"
"K01190","3","0","3"
"K03954","3","0","3"
"K02299","3","0","3"
"K02263","3","0","3"
"K03149","3","0","0"
"K13821","3","0","3"
"K02298","3","0","3"
"K02266","3","0","3"
"K01653","3","0","0"
"K03881","3","0","3"
"K00426","3","0","3"
"K00418","3","0","3"
"K00412","3","0","3"
"K00570","3","0","0"
"K01810","3","0","1"
"K03956","3","0","3"
"K00419","3","0","3"
"K00332","3","0","3"
"K03963","3","0","3"
"K03936","3","0","3"
"K03938","3","0","3"
"K00330","3","0","3"
"K16860","2","0","0"
"K11717","2","0","0"
"K00823","2","0","2"
"K01648","2","0","2"
"K00616","2","0","0"
"K01662","2","0","0"
"K02134","2","0","2"
"K02137","2","0","2"
"K01783","2","0","0"
"K01256","2","0","2"
"K02140","2","0","2"
"K12349","2","0","0"
"K05350","2","0","0"
"K00710","2","0","0"
"K00717","2","0","0"
"K12657","2","0","2"
"K11142","2","0","2"
"K01092","2","0","2"
"K02152","2","0","2"
"K02224","2","0","0"
"K01687","2","0","0"
"K00049","2","0","2"
"K14394","2","0","2"
"K02149","2","0","2"
"K01641","2","0","0"
"K01791","2","0","0"
"K05349","2","0","0"
"K02318","2","0","2"
"K00015","2","0","2"
"K00127","2","0","0"
"K05546","2","0","0"
"K01938","2","0","2"
"K15728","2","0","1"
"K00568","2","0","1"
"K00164","2","0","0"
"K02132","2","0","2"
"K00244","2","0","2"
"K18532","2","0","2"
"K02129","2","0","2"
"K03842","2","0","0"
"K00699","2","0","0"
"K07151","2","0","0"
"K11177","2","0","2"
"K00969","2","0","2"
"K01757","2","0","0"
"K01805","2","0","0"
"K13811","2","0","2"
"K00942","2","0","0"
"K01053","2","0","0"
"K07258","2","0","0"
"K13038","2","0","2"
"K01918","2","0","0"
"K02147","2","0","2"
"K00814","2","0","1"
"K00029","2","0","0"
"K13482","2","0","2"
"K13499","2","0","0"
"K01796","2","0","0"
"K09479","2","0","2"
"K13483","2","0","2"
"K00721","2","0","2"
"K02144","2","0","2"
"K02136","2","0","2"
"K14156","2","0","0"
"K00769","2","0","1"
"K03844","2","0","0"
"K10251","2","0","0"
"K01457","2","0","0"
"K03426","2","0","2"
"K00072","2","0","0"
"K00053","2","0","0"
"K01136","2","0","0"
"K01772","2","0","0"
"K01666","2","0","0"
"K00235","2","0","2"
"K03661","2","0","2"
"K16171","2","0","2"
"K01856","2","0","0"
"K00024","2","0","2"
"K11753","2","0","2"
"K12666","2","0","0"
"K06016","2","0","2"
"K00999","2","0","0"
"K13403","2","0","2"
