,GENE.ID,Hsap_IMR90iPSCs_CPCs_1G_Rep1,Hsap_IMR90iPSCs_CPCs_1G_Rep2,Hsap_IMR90iPSCs_CPCs_1G_Rep3,Hsap_IMR90iPSCs_CPCs_suG_Rep1,Hsap_IMR90iPSCs_CPCs_suG_Rep2,Hsap_IMR90iPSCs_CPCs_suG_Rep3,Hsap_TK6cells_LCL_1G_Rep1_SRR1805693,Hsap_TK6cells_LCL_1G_Rep2_SRR1805694,Hsap_TK6cells_LCL_suG_Rep1_SRR1805691,Hsap_TK6cells_LCL_suG_Rep2_SRR1805692
1,ENSG00000000003,2184.630205,2559.908343,2054.110366,2256.247429,2264.783042,2183.403708,NA,NA,NA,NA
2,ENSG00000000419,447.1303999,516.6739775,471.2329878,568.324812,528.181484,509.1527812,8656.754412,8686.68545,8239.873338,9939.546108
3,ENSG00000000457,314.7354441,399.8102015,308.0021262,308.6633018,339.4070121,289.202521,974.792441,930.0102756,1100.121736,1054.28173
4,ENSG00000000460,260.9076975,326.5849144,273.712857,258.4280717,352.0060489,311.3167721,1489.502488,1546.419864,1475.969481,1589.220412
5,ENSG00000000938,NA,NA,NA,NA,NA,NA,2091.877581,1817.650019,1773.160019,1670.069442
6,ENSG00000001036,452.1740882,674.1909079,481.7221483,454.43295,548.6290431,547.7916198,1231.407071,1309.099319,1318.6422,1469.708553
7,ENSG00000001084,278.1680052,295.9970151,312.4863485,330.7489754,383.7907514,324.6445755,945.0184657,964.9509976,1094.841202,1187.735279
8,ENSG00000001167,1144.500784,989.6942537,1186.850126,1028.366792,1091.790318,1093.642834,3147.379904,3115.889618,2955.814477,3040.825968
9,ENSG00000001460,176.7863851,185.228723,123.5942597,175.4090385,145.5597492,126.741171,NA,NA,NA,NA
10,ENSG00000001461,404.6228252,426.9436535,305.9279084,396.0979937,428.946735,311.676729,152.6409219,118.395309,134.7302598,131.2626577
11,ENSG00000001497,892.7741984,858.4463585,922.8604958,965.0515818,945.7440296,956.3250841,6011.542303,6093.683667,5614.808572,6076.647928
12,ENSG00000001561,79.11442682,69.20533577,79.5925689,96.75659072,79.23234341,79.07760513,752.8663365,839.0640269,878.9403487,828.3731736
13,ENSG00000001617,616.9442786,647.6068539,571.6963238,542.9989894,630.6371504,708.1603612,NA,NA,NA,NA
14,ENSG00000001626,374.3049475,477.2176465,516.8754481,620.6808568,567.293228,702.2881269,NA,NA,NA,NA
15,ENSG00000001629,987.409813,898.1575353,1014.235057,1006.840663,1180.463165,1043.995581,2603.657268,2688.697587,2713.864618,2547.059459
16,ENSG00000001630,687.0704021,554.0306762,1221.074267,954.4363761,1032.685069,1025.255154,7375.945242,8090.497234,9185.915001,9221.146001
17,ENSG00000001631,602.5308147,645.0517914,607.0848987,666.460026,668.0778928,664.1818828,2153.705521,2313.113961,2097.554854,2224.547235
18,ENSG00000002016,256.1517627,247.8566934,248.8575713,207.6029573,242.1297155,161.3660822,964.5343167,921.2871234,899.1226385,803.9655651
19,ENSG00000002079,NA,NA,NA,NA,NA,NA,0.662053347,8.084065982,2.746205064,3.265768821
20,ENSG00000002330,366.1671383,336.381066,357.7231644,377.7349337,346.7960006,398.3040232,319.4128857,351.2716285,311.1664461,411.0085219
21,ENSG00000002549,564.6452915,697.7974348,660.2829086,636.0231768,730.7911631,584.588022,2845.537887,3075.290622,2692.225051,2881.51511
22,ENSG00000002586,3404.734562,4227.701269,2855.350302,2648.507061,2731.027132,2732.579061,2479.115513,2495.115111,2302.182497,2271.625308
23,ENSG00000002587,152.930604,255.8771445,119.6832201,46.68340464,145.4021504,79.47086423,NA,NA,NA,NA
24,ENSG00000002726,NA,NA,NA,NA,NA,NA,40.05006436,40.06362957,36.3578719,32.45377164
25,ENSG00000002745,8.232051471,5.082138459,12.69369024,3.157927434,5.363380451,7.564514994,NA,NA,NA,NA
26,ENSG00000002746,3.057604196,25.68183352,3.068005087,4.170983017,7.158091415,2.927920884,NA,NA,NA,NA
27,ENSG00000002822,456.7427822,506.2944439,526.5423098,569.8973878,676.3281346,537.0797202,607.8175279,475.8519132,701.3957998,600.098506
28,ENSG00000002834,4956.185046,5131.253593,4772.690631,4044.330391,4443.372471,4524.209289,5217.993235,5207.313687,5688.630955,5279.173894
29,ENSG00000002919,224.3555741,181.0065702,245.0319549,226.5274865,222.0167458,210.6297646,1437.665579,1366.80141,1205.069424,1308.553254
30,ENSG00000002933,9.438775285,24.64030001,3.671788449,6.381185669,9.756102128,4.800097371,NA,NA,NA,NA
31,ENSG00000003056,1408.212576,1346.129522,1361.421916,1487.80745,1308.07474,1383.899952,6764.561611,7179.39206,7065.117848,7106.365978
32,ENSG00000003096,151.634111,126.6851168,130.7795537,117.6215783,126.3931115,135.8394158,2.54496821,2.743351283,0.964139625,6.239439448
33,ENSG00000003137,59.83602482,139.1340161,35.4052242,28.10645886,23.79350401,11.32562627,NA,NA,NA,NA
34,ENSG00000003147,81.01419581,125.9565499,61.16346957,74.13199846,116.74092,72.17398181,161.1892612,164.9059185,211.9646757,150.3126329
35,ENSG00000003249,62.98257559,74.00324674,79.3239812,66.77336379,67.42934663,83.56289491,43.78516447,33.19883138,40.54326773,29.76871495
36,ENSG00000003393,975.5170338,1053.095934,916.5415785,945.710966,947.2691434,950.8830281,1103.059637,1093.636129,1037.221236,998.8495383
37,ENSG00000003400,47.11220365,32.4295687,32.2784765,28.86571337,46.31154216,40.05036885,1135.100233,1427.218462,1307.931076,1120.870563
38,ENSG00000003402,101.9151683,131.005212,97.56093139,69.73455284,97.19971661,91.18342667,2917.352341,3284.962487,2976.154147,3307.840988
