Cluster,Score,Type,Gene,Symbol,Network
1,30.009803921568626,Clustered,1537,CYC1,_FINAL_SUB1
1,30.009803921568626,Clustered,5009,OTC,_FINAL_SUB1
1,30.009803921568626,Clustered,2023,ENO1,_FINAL_SUB1
1,30.009803921568626,Clustered,8802,SUCLG1,_FINAL_SUB1
1,30.009803921568626,Clustered,2731,GLDC,_FINAL_SUB1
1,30.009803921568626,Clustered,353,APRT,_FINAL_SUB1
1,30.009803921568626,Clustered,7381,UQCRB,_FINAL_SUB1
1,30.009803921568626,Clustered,1629,DBT,_FINAL_SUB1
1,30.009803921568626,Clustered,533,ATP6V0B,_FINAL_SUB1
1,30.009803921568626,Clustered,501,ALDH7A1,_FINAL_SUB1
1,30.009803921568626,Clustered,2821,GPI,_FINAL_SUB1
1,30.009803921568626,Clustered,158,ADSL,_FINAL_SUB1
1,30.009803921568626,Clustered,4514,COX3,_FINAL_SUB1
1,30.009803921568626,Clustered,191,AHCY,_FINAL_SUB1
1,30.009803921568626,Clustered,22934,RPIA,_FINAL_SUB1
1,30.009803921568626,Clustered,38,ACAT1,_FINAL_SUB1
1,30.009803921568626,Clustered,2875,GPT,_FINAL_SUB1
1,30.009803921568626,Clustered,4704,NDUFA9,_FINAL_SUB1
1,30.009803921568626,Clustered,6391,SDHC,_FINAL_SUB1
1,30.009803921568626,Clustered,4728,NDUFS8,_FINAL_SUB1
1,30.009803921568626,Clustered,29796,UQCR10,_FINAL_SUB1
1,30.009803921568626,Clustered,4536,ND2,_FINAL_SUB1
1,30.009803921568626,Clustered,3155,HMGCL,_FINAL_SUB1
1,30.009803921568626,Clustered,10632,ATP5MG,_FINAL_SUB1
1,30.009803921568626,Clustered,529,ATP6V1E1,_FINAL_SUB1
1,30.009803921568626,Clustered,5213,PFKM,_FINAL_SUB1
1,30.009803921568626,Clustered,4694,NDUFA1,_FINAL_SUB1
1,30.009803921568626,Clustered,2819,GPD1,_FINAL_SUB1
1,30.009803921568626,Clustered,9296,ATP6V1F,_FINAL_SUB1
1,30.009803921568626,Clustered,6470,SHMT1,_FINAL_SUB1
1,30.009803921568626,Clustered,471,ATIC,_FINAL_SUB1
1,30.009803921568626,Clustered,7360,UGP2,_FINAL_SUB1
1,30.009803921568626,Clustered,5223,PGAM1,_FINAL_SUB1
1,30.009803921568626,Clustered,4508,ATP6,_FINAL_SUB1
1,30.009803921568626,Clustered,4537,ND3,_FINAL_SUB1
1,30.009803921568626,Clustered,10063,COX17,_FINAL_SUB1
1,30.009803921568626,Clustered,3939,LDHA,_FINAL_SUB1
1,30.009803921568626,Clustered,1329,COX5B,_FINAL_SUB1
1,30.009803921568626,Clustered,7086,TKT,_FINAL_SUB1
1,30.009803921568626,Clustered,6120,RPE,_FINAL_SUB1
1,30.009803921568626,Clustered,4729,NDUFV2,_FINAL_SUB1
1,30.009803921568626,Clustered,4713,NDUFB7,_FINAL_SUB1
1,30.009803921568626,Clustered,4141,MARS1,_FINAL_SUB1
1,30.009803921568626,Clustered,2752,GLUL,_FINAL_SUB1
1,30.009803921568626,Clustered,51079,NDUFA13,_FINAL_SUB1
1,30.009803921568626,Clustered,440,ASNS,_FINAL_SUB1
1,30.009803921568626,Clustered,514,ATP5F1E,_FINAL_SUB1
1,30.009803921568626,Clustered,31,ACACA,_FINAL_SUB1
1,30.009803921568626,Clustered,5832,ALDH18A1,_FINAL_SUB1
1,30.009803921568626,Clustered,4942,OAT,_FINAL_SUB1
1,30.009803921568626,Clustered,1719,DHFR,_FINAL_SUB1
1,30.009803921568626,Clustered,29968,PSAT1,_FINAL_SUB1
1,30.009803921568626,Clustered,4702,NDUFA8,_FINAL_SUB1
1,30.009803921568626,Clustered,4700,NDUFA6,_FINAL_SUB1
1,30.009803921568626,Clustered,4519,CYTB,_FINAL_SUB1
1,30.009803921568626,Clustered,7388,UQCRH,_FINAL_SUB1
1,30.009803921568626,Clustered,3417,IDH1,_FINAL_SUB1
1,30.009803921568626,Clustered,1723,DHODH,_FINAL_SUB1
1,30.009803921568626,Seed,2806,GOT2,_FINAL_SUB1
1,30.009803921568626,Clustered,4512,COX1,_FINAL_SUB1
1,30.009803921568626,Clustered,516,ATP5MC1,_FINAL_SUB1
1,30.009803921568626,Clustered,527,ATP6V0C,_FINAL_SUB1
1,30.009803921568626,Clustered,445,ASS1,_FINAL_SUB1
1,30.009803921568626,Clustered,4715,NDUFB9,_FINAL_SUB1
1,30.009803921568626,Clustered,34,ACADM,_FINAL_SUB1
1,30.009803921568626,Clustered,6392,SDHD,_FINAL_SUB1
1,30.009803921568626,Clustered,435,ASL,_FINAL_SUB1
1,30.009803921568626,Clustered,5236,PGM1,_FINAL_SUB1
1,30.009803921568626,Clustered,4513,COX2,_FINAL_SUB1
1,30.009803921568626,Clustered,6472,SHMT2,_FINAL_SUB1
1,30.009803921568626,Clustered,55967,NDUFA12,_FINAL_SUB1
1,30.009803921568626,Clustered,84076,TKTL2,_FINAL_SUB1
1,30.009803921568626,Clustered,522,ATP5PF,_FINAL_SUB1
2,23.632911392405063,Clustered,54995,OXSM,_FINAL_SUB1
2,23.632911392405063,Clustered,3157,HMGCS1,_FINAL_SUB1
2,23.632911392405063,Clustered,54205,CYCS,_FINAL_SUB1
2,23.632911392405063,Clustered,4967,OGDH,_FINAL_SUB1
2,23.632911392405063,Clustered,5723,PSPH,_FINAL_SUB1
2,23.632911392405063,Clustered,8801,SUCLG2,_FINAL_SUB1
2,23.632911392405063,Clustered,2582,GALE,_FINAL_SUB1
2,23.632911392405063,Clustered,84172,POLR1B,_FINAL_SUB1
2,23.632911392405063,Clustered,4719,NDUFS1,_FINAL_SUB1
2,23.632911392405063,Clustered,5238,PGM3,_FINAL_SUB1
2,23.632911392405063,Clustered,2710,GK,_FINAL_SUB1
2,23.632911392405063,Clustered,26275,HIBCH,_FINAL_SUB1
2,23.632911392405063,Clustered,5432,POLR2C,_FINAL_SUB1
2,23.632911392405063,Clustered,159,ADSS2,_FINAL_SUB1
2,23.632911392405063,Clustered,6389,SDHA,_FINAL_SUB1
2,23.632911392405063,Clustered,9942,XYLB,_FINAL_SUB1
2,23.632911392405063,Clustered,6241,RRM2,_FINAL_SUB1
2,23.632911392405063,Clustered,506,ATP5F1B,_FINAL_SUB1
2,23.632911392405063,Clustered,1431,CS,_FINAL_SUB1
2,23.632911392405063,Clustered,7372,UMPS,_FINAL_SUB1
2,23.632911392405063,Clustered,8833,GMPS,_FINAL_SUB1
2,23.632911392405063,Clustered,2224,FDPS,_FINAL_SUB1
2,23.632911392405063,Clustered,4953,ODC1,_FINAL_SUB1
2,23.632911392405063,Clustered,3418,IDH2,_FINAL_SUB1
2,23.632911392405063,Clustered,4351,MPI,_FINAL_SUB1
2,23.632911392405063,Clustered,275,AMT,_FINAL_SUB1
2,23.632911392405063,Clustered,2744,GLS,_FINAL_SUB1
2,23.632911392405063,Clustered,6723,SRM,_FINAL_SUB1
2,23.632911392405063,Clustered,593,BCKDHA,_FINAL_SUB1
2,23.632911392405063,Clustered,2181,ACSL3,_FINAL_SUB1
2,23.632911392405063,Clustered,594,BCKDHB,_FINAL_SUB1
2,23.632911392405063,Clustered,2058,EPRS1,_FINAL_SUB1
2,23.632911392405063,Clustered,4706,NDUFAB1,_FINAL_SUB1
2,23.632911392405063,Clustered,25796,PGLS,_FINAL_SUB1
2,23.632911392405063,Clustered,1738,DLD,_FINAL_SUB1
2,23.632911392405063,Clustered,3712,IVD,_FINAL_SUB1
2,23.632911392405063,Clustered,5198,PFAS,_FINAL_SUB1
2,23.632911392405063,Clustered,2643,GCH1,_FINAL_SUB1
2,23.632911392405063,Clustered,11112,HIBADH,_FINAL_SUB1
2,23.632911392405063,Clustered,5498,PPOX,_FINAL_SUB1
2,23.632911392405063,Clustered,6240,RRM1,_FINAL_SUB1
2,23.632911392405063,Clustered,51,ACOX1,_FINAL_SUB1
2,23.632911392405063,Clustered,4191,MDH2,_FINAL_SUB1
2,23.632911392405063,Clustered,509,ATP5F1C,_FINAL_SUB1
2,23.632911392405063,Clustered,2632,GBE1,_FINAL_SUB1
2,23.632911392405063,Clustered,7386,UQCRFS1,_FINAL_SUB1
2,23.632911392405063,Clustered,4860,PNP,_FINAL_SUB1
2,23.632911392405063,Clustered,3251,HPRT1,_FINAL_SUB1
2,23.632911392405063,Clustered,847,CAT,_FINAL_SUB1
2,23.632911392405063,Clustered,2673,GFPT1,_FINAL_SUB1
2,23.632911392405063,Clustered,2653,GCSH,_FINAL_SUB1
2,23.632911392405063,Clustered,218,ALDH3A1,_FINAL_SUB1
2,23.632911392405063,Clustered,2597,GAPDH,_FINAL_SUB1
2,23.632911392405063,Clustered,55703,POLR3B,_FINAL_SUB1
2,23.632911392405063,Clustered,2271,FH,_FINAL_SUB1
2,23.632911392405063,Clustered,4524,MTHFR,_FINAL_SUB1
2,23.632911392405063,Clustered,51727,CMPK1,_FINAL_SUB1
2,23.632911392405063,Clustered,3614,IMPDH1,_FINAL_SUB1
2,23.632911392405063,Clustered,51805,COQ3,_FINAL_SUB1
2,23.632911392405063,Seed,47,ACLY,_FINAL_SUB1
2,23.632911392405063,Clustered,5625,PRODH,_FINAL_SUB1
2,23.632911392405063,Clustered,4190,MDH1,_FINAL_SUB1
2,23.632911392405063,Clustered,7298,TYMS,_FINAL_SUB1
2,23.632911392405063,Clustered,128,ADH5,_FINAL_SUB1
2,23.632911392405063,Clustered,5431,POLR2B,_FINAL_SUB1
2,23.632911392405063,Clustered,5162,PDHB,_FINAL_SUB1
2,23.632911392405063,Clustered,7167,TPI1,_FINAL_SUB1
2,23.632911392405063,Clustered,1743,DLST,_FINAL_SUB1
2,23.632911392405063,Clustered,189,AGXT,_FINAL_SUB1
2,23.632911392405063,Clustered,6898,TAT,_FINAL_SUB1
2,23.632911392405063,Clustered,2639,GCDH,_FINAL_SUB1
2,23.632911392405063,Clustered,27349,MCAT,_FINAL_SUB1
2,23.632911392405063,Clustered,5230,PGK1,_FINAL_SUB1
2,23.632911392405063,Clustered,9588,PRDX6,_FINAL_SUB1
2,23.632911392405063,Clustered,51102,MECR,_FINAL_SUB1
2,23.632911392405063,Clustered,1806,DPYD,_FINAL_SUB1
2,23.632911392405063,Clustered,1353,COX11,_FINAL_SUB1
2,23.632911392405063,Clustered,1737,DLAT,_FINAL_SUB1
2,23.632911392405063,Clustered,130589,GALM,_FINAL_SUB1
3,6.520833333333334,Clustered,54965,PIGX,_FINAL_SUB1
3,6.520833333333334,Clustered,54344,DPM3,_FINAL_SUB1
3,6.520833333333334,Clustered,84920,ALG10,_FINAL_SUB1
3,6.520833333333334,Clustered,51227,PIGP,_FINAL_SUB1
3,6.520833333333334,Clustered,5980,REV3L,_FINAL_SUB1
3,6.520833333333334,Clustered,23205,ACSBG1,_FINAL_SUB1
3,6.520833333333334,Clustered,79087,ALG12,_FINAL_SUB1
3,6.520833333333334,Clustered,4245,MGAT1,_FINAL_SUB1
3,6.520833333333334,Clustered,6117,RPA1,_FINAL_SUB1
3,6.520833333333334,Clustered,5433,POLR2D,_FINAL_SUB1
3,6.520833333333334,Clustered,4128,MAOA,_FINAL_SUB1
3,6.520833333333334,Clustered,10026,PIGK,_FINAL_SUB1
3,6.520833333333334,Clustered,85365,ALG2,_FINAL_SUB1
3,6.520833333333334,Clustered,440138,ALG11,_FINAL_SUB1
3,6.520833333333334,Clustered,8879,SGPL1,_FINAL_SUB1
3,6.520833333333334,Clustered,3988,LIPA,_FINAL_SUB1
3,6.520833333333334,Clustered,1644,DDC,_FINAL_SUB1
3,6.520833333333334,Clustered,2762,GMDS,_FINAL_SUB1
3,6.520833333333334,Clustered,54107,POLE3,_FINAL_SUB1
3,6.520833333333334,Clustered,1603,DAD1,_FINAL_SUB1
3,6.520833333333334,Clustered,5130,PCYT1A,_FINAL_SUB1
3,6.520833333333334,Clustered,5426,POLE,_FINAL_SUB1
3,6.520833333333334,Clustered,199857,ALG14,_FINAL_SUB1
3,6.520833333333334,Clustered,51005,AMDHD2,_FINAL_SUB1
3,6.520833333333334,Clustered,5281,PIGF,_FINAL_SUB1
3,6.520833333333334,Clustered,79947,DHDDS,_FINAL_SUB1
3,6.520833333333334,Clustered,1119,CHKA,_FINAL_SUB1
3,6.520833333333334,Clustered,5279,PIGC,_FINAL_SUB1
3,6.520833333333334,Seed,8818,DPM2,_FINAL_SUB1
3,6.520833333333334,Clustered,284098,PIGW,_FINAL_SUB1
3,6.520833333333334,Clustered,51604,PIGT,_FINAL_SUB1
3,6.520833333333334,Clustered,55577,NAGK,_FINAL_SUB1
3,6.520833333333334,Clustered,5438,POLR2I,_FINAL_SUB1
3,6.520833333333334,Clustered,9487,PIGL,_FINAL_SUB1
3,6.520833333333334,Clustered,9488,PIGB,_FINAL_SUB1
3,6.520833333333334,Clustered,5422,POLA1,_FINAL_SUB1
3,6.520833333333334,Clustered,27010,TPK1,_FINAL_SUB1
3,6.520833333333334,Clustered,10714,POLD3,_FINAL_SUB1
3,6.520833333333334,Clustered,128869,PIGU,_FINAL_SUB1
3,6.520833333333334,Clustered,5283,PIGH,_FINAL_SUB1
3,6.520833333333334,Clustered,5558,PRIM2,_FINAL_SUB1
3,6.520833333333334,Clustered,84720,PIGO,_FINAL_SUB1
3,6.520833333333334,Clustered,23556,PIGN,_FINAL_SUB1
3,6.520833333333334,Clustered,5425,POLD2,_FINAL_SUB1
3,6.520833333333334,Clustered,79868,ALG13,_FINAL_SUB1
3,6.520833333333334,Clustered,23649,POLA2,_FINAL_SUB1
3,6.520833333333334,Clustered,5557,PRIM1,_FINAL_SUB1
3,6.520833333333334,Clustered,55349,CHDH,_FINAL_SUB1
4,6.170212765957447,Clustered,2184,FAH,_FINAL_SUB1
4,6.170212765957447,Clustered,211,ALAS1,_FINAL_SUB1
4,6.170212765957447,Clustered,5053,PAH,_FINAL_SUB1
4,6.170212765957447,Clustered,5188,GATB,_FINAL_SUB1
4,6.170212765957447,Clustered,10423,CDIPT,_FINAL_SUB1
4,6.170212765957447,Clustered,57016,AKR1B10,_FINAL_SUB1
4,6.170212765957447,Clustered,2098,ESD,_FINAL_SUB1
4,6.170212765957447,Clustered,1503,CTPS1,_FINAL_SUB1
4,6.170212765957447,Clustered,283871,PGP,_FINAL_SUB1
4,6.170212765957447,Clustered,132158,GLYCTK,_FINAL_SUB1
4,6.170212765957447,Clustered,129607,CMPK2,_FINAL_SUB1
4,6.170212765957447,Clustered,11181,TREH,_FINAL_SUB1
4,6.170212765957447,Clustered,210,ALAD,_FINAL_SUB1
4,6.170212765957447,Clustered,7358,UGDH,_FINAL_SUB1
4,6.170212765957447,Clustered,80142,PTGES2,_FINAL_SUB1
4,6.170212765957447,Clustered,2987,GUK1,_FINAL_SUB1
4,6.170212765957447,Clustered,27235,COQ2,_FINAL_SUB1
4,6.170212765957447,Clustered,2592,GALT,_FINAL_SUB1
4,6.170212765957447,Seed,5373,PMM2,_FINAL_SUB1
4,6.170212765957447,Clustered,7378,UPP1,_FINAL_SUB1
4,6.170212765957447,Clustered,5256,PHKA2,_FINAL_SUB1
4,6.170212765957447,Clustered,51382,ATP6V1D,_FINAL_SUB1
4,6.170212765957447,Clustered,262,AMD1,_FINAL_SUB1
4,6.170212765957447,Clustered,23761,PISD,_FINAL_SUB1
4,6.170212765957447,Clustered,9054,NFS1,_FINAL_SUB1
4,6.170212765957447,Clustered,55191,NADSYN1,_FINAL_SUB1
4,6.170212765957447,Clustered,95,ACY1,_FINAL_SUB1
4,6.170212765957447,Clustered,81889,FAHD1,_FINAL_SUB1
4,6.170212765957447,Clustered,549,AUH,_FINAL_SUB1
4,6.170212765957447,Clustered,7371,UCK2,_FINAL_SUB1
4,6.170212765957447,Clustered,2356,FPGS,_FINAL_SUB1
4,6.170212765957447,Clustered,1841,DTYMK,_FINAL_SUB1
4,6.170212765957447,Clustered,1854,DUT,_FINAL_SUB1
4,6.170212765957447,Clustered,10157,AASS,_FINAL_SUB1
4,6.170212765957447,Clustered,100,ADA,_FINAL_SUB1
4,6.170212765957447,Clustered,7389,UROD,_FINAL_SUB1
4,6.170212765957447,Clustered,55748,CNDP2,_FINAL_SUB1
4,6.170212765957447,Clustered,51477,ISYNA1,_FINAL_SUB1
4,6.170212765957447,Clustered,64902,AGXT2,_FINAL_SUB1
4,6.170212765957447,Clustered,8310,ACOX3,_FINAL_SUB1
4,6.170212765957447,Clustered,5160,PDHA1,_FINAL_SUB1
4,6.170212765957447,Clustered,4329,ALDH6A1,_FINAL_SUB1
4,6.170212765957447,Clustered,3156,HMGCR,_FINAL_SUB1
4,6.170212765957447,Clustered,84274,COQ5,_FINAL_SUB1
4,6.170212765957447,Clustered,25885,POLR1A,_FINAL_SUB1
4,6.170212765957447,Clustered,3704,ITPA,_FINAL_SUB1
4,6.170212765957447,Clustered,65220,NADK,_FINAL_SUB1
6,4.351351351351351,Clustered,5439,POLR2J,_FINAL_SUB1
6,4.351351351351351,Clustered,51728,POLR3K,_FINAL_SUB1
6,4.351351351351351,Clustered,5437,POLR2H,_FINAL_SUB1
6,4.351351351351351,Clustered,271,AMPD2,_FINAL_SUB1
6,4.351351351351351,Clustered,171568,POLR3H,_FINAL_SUB1
6,4.351351351351351,Clustered,528,ATP6V1C1,_FINAL_SUB1
6,4.351351351351351,Clustered,30834,POLR1H,_FINAL_SUB1
6,4.351351351351351,Clustered,9533,POLR1C,_FINAL_SUB1
6,4.351351351351351,Clustered,3242,HPD,_FINAL_SUB1
6,4.351351351351351,Clustered,622,BDH1,_FINAL_SUB1
6,4.351351351351351,Clustered,64425,POLR1E,_FINAL_SUB1
6,4.351351351351351,Clustered,51733,UPB1,_FINAL_SUB1
6,4.351351351351351,Clustered,7498,XDH,_FINAL_SUB1
6,4.351351351351351,Clustered,1807,DPYS,_FINAL_SUB1
6,4.351351351351351,Seed,2235,FECH,_FINAL_SUB1
6,4.351351351351351,Clustered,534,ATP6V1G2,_FINAL_SUB1
6,4.351351351351351,Clustered,5440,POLR2K,_FINAL_SUB1
6,4.351351351351351,Clustered,551,AVP,_FINAL_SUB1
6,4.351351351351351,Clustered,661,POLR3D,_FINAL_SUB1
6,4.351351351351351,Clustered,8992,ATP6V0E1,_FINAL_SUB1
6,4.351351351351351,Clustered,9615,GDA,_FINAL_SUB1
6,4.351351351351351,Clustered,54802,TRIT1,_FINAL_SUB1
6,4.351351351351351,Clustered,4048,LTA4H,_FINAL_SUB1
6,4.351351351351351,Clustered,11019,LIAS,_FINAL_SUB1
6,4.351351351351351,Clustered,6821,SUOX,_FINAL_SUB1
6,4.351351351351351,Clustered,51004,COQ6,_FINAL_SUB1
6,4.351351351351351,Clustered,23417,MLYCD,_FINAL_SUB1
6,4.351351351351351,Clustered,414328,IDNK,_FINAL_SUB1
6,4.351351351351351,Clustered,2954,GSTZ1,_FINAL_SUB1
6,4.351351351351351,Clustered,5436,POLR2G,_FINAL_SUB1
6,4.351351351351351,Clustered,5435,POLR2F,_FINAL_SUB1
6,4.351351351351351,Clustered,51082,POLR1D,_FINAL_SUB1
6,4.351351351351351,Clustered,221830,POLR1F,_FINAL_SUB1
6,4.351351351351351,Clustered,8694,DGAT1,_FINAL_SUB1
6,4.351351351351351,Clustered,978,CDA,_FINAL_SUB1
6,4.351351351351351,Clustered,139596,UPRT,_FINAL_SUB1
6,4.351351351351351,Clustered,10901,DHRS4,_FINAL_SUB1
5,3.558139534883721,Clustered,8813,DPM1,_FINAL_SUB1
5,3.558139534883721,Clustered,10621,POLR3F,_FINAL_SUB1
5,3.558139534883721,Clustered,4357,MPST,_FINAL_SUB1
5,3.558139534883721,Clustered,93100,NAPRT,_FINAL_SUB1
5,3.558139534883721,Clustered,5742,PTGS1,_FINAL_SUB1
5,3.558139534883721,Clustered,55650,PIGV,_FINAL_SUB1
5,3.558139534883721,Clustered,79717,PPCS,_FINAL_SUB1
5,3.558139534883721,Clustered,64802,NMNAT1,_FINAL_SUB1
5,3.558139534883721,Clustered,8733,GPAA1,_FINAL_SUB1
5,3.558139534883721,Clustered,93183,PIGM,_FINAL_SUB1
5,3.558139534883721,Seed,495,ATP4A,_FINAL_SUB1
5,3.558139534883721,Clustered,23193,GANAB,_FINAL_SUB1
5,3.558139534883721,Clustered,22845,DOLK,_FINAL_SUB1
5,3.558139534883721,Clustered,479,ATP12A,_FINAL_SUB1
5,3.558139534883721,Clustered,23743,BHMT2,_FINAL_SUB1
5,3.558139534883721,Clustered,7264,GFUS,_FINAL_SUB1
5,3.558139534883721,Clustered,8566,PDXK,_FINAL_SUB1
5,3.558139534883721,Clustered,55163,PNPO,_FINAL_SUB1
5,3.558139534883721,Clustered,7991,TUSC3,_FINAL_SUB1
5,3.558139534883721,Clustered,60490,PPCDC,_FINAL_SUB1
5,3.558139534883721,Clustered,5434,POLR2E,_FINAL_SUB1
5,3.558139534883721,Clustered,51144,HSD17B12,_FINAL_SUB1
5,3.558139534883721,Clustered,23175,LPIN1,_FINAL_SUB1
5,3.558139534883721,Clustered,10623,POLR3C,_FINAL_SUB1
5,3.558139534883721,Clustered,11128,POLR3A,_FINAL_SUB1
5,3.558139534883721,Clustered,1798,DPAGT1,_FINAL_SUB1
5,3.558139534883721,Clustered,7390,UROS,_FINAL_SUB1
5,3.558139534883721,Clustered,5441,POLR2L,_FINAL_SUB1
5,3.558139534883721,Clustered,10195,ALG3,_FINAL_SUB1
5,3.558139534883721,Clustered,79796,ALG9,_FINAL_SUB1
5,3.558139534883721,Clustered,3612,IMPA1,_FINAL_SUB1
5,3.558139534883721,Clustered,5430,POLR2A,_FINAL_SUB1
5,3.558139534883721,Clustered,51218,GLRX5,_FINAL_SUB1
5,3.558139534883721,Clustered,3081,HGD,_FINAL_SUB1
5,3.558139534883721,Clustered,79053,ALG8,_FINAL_SUB1
5,3.558139534883721,Clustered,10622,POLR3G,_FINAL_SUB1
5,3.558139534883721,Clustered,4597,MVD,_FINAL_SUB1
5,3.558139534883721,Clustered,3141,HLCS,_FINAL_SUB1
5,3.558139534883721,Clustered,7263,TST,_FINAL_SUB1
5,3.558139534883721,Clustered,5033,P4HA1,_FINAL_SUB1
5,3.558139534883721,Clustered,201595,STT3B,_FINAL_SUB1
5,3.558139534883721,Clustered,10588,MTHFS,_FINAL_SUB1
5,3.558139534883721,Clustered,3422,IDI1,_FINAL_SUB1
7,2.590909090909091,Clustered,10269,ZMPSTE24,_FINAL_SUB1
7,2.590909090909091,Clustered,5424,POLD1,_FINAL_SUB1
7,2.590909090909091,Clustered,80146,UXS1,_FINAL_SUB1
7,2.590909090909091,Clustered,23475,QPRT,_FINAL_SUB1
7,2.590909090909091,Clustered,5833,PCYT2,_FINAL_SUB1
7,2.590909090909091,Clustered,5536,PPP5C,_FINAL_SUB1
7,2.590909090909091,Clustered,1040,CDS1,_FINAL_SUB1
7,2.590909090909091,Clustered,9091,PIGQ,_FINAL_SUB1
7,2.590909090909091,Clustered,5427,POLE2,_FINAL_SUB1
7,2.590909090909091,Clustered,23463,ICMT,_FINAL_SUB1
7,2.590909090909091,Clustered,8760,CDS2,_FINAL_SUB1
7,2.590909090909091,Seed,9524,TECR,_FINAL_SUB1
7,2.590909090909091,Clustered,10243,GPHN,_FINAL_SUB1
7,2.590909090909091,Clustered,55256,ADI1,_FINAL_SUB1
7,2.590909090909091,Clustered,6118,RPA2,_FINAL_SUB1
7,2.590909090909091,Clustered,56052,ALG1,_FINAL_SUB1
7,2.590909090909091,Clustered,79888,LPCAT1,_FINAL_SUB1
7,2.590909090909091,Clustered,94005,PIGS,_FINAL_SUB1
7,2.590909090909091,Clustered,29880,ALG5,_FINAL_SUB1
7,2.590909090909091,Clustered,85465,SELENOI,_FINAL_SUB1
7,2.590909090909091,Clustered,137964,GPAT4,_FINAL_SUB1
7,2.590909090909091,Clustered,5277,PIGA,_FINAL_SUB1
8,1.25,Clustered,55500,ETNK1,_FINAL_SUB1
8,1.25,Clustered,253430,IPMK,_FINAL_SUB1
8,1.25,Clustered,8867,SYNJ1,_FINAL_SUB1
8,1.25,Clustered,9489,PGS1,_FINAL_SUB1
9,1.0,Clustered,1606,DGKA,_FINAL_SUB1
9,1.0,Clustered,5298,PI4KB,_FINAL_SUB1
9,1.0,Clustered,8877,SPHK1,_FINAL_SUB1
