Cluster,Score,Type,Gene,Symbol,Network
1,30.009803921568626,Clustered,4695,NDUFA2,_FINAL_SUB1
1,30.009803921568626,Clustered,4726,NDUFS6,_FINAL_SUB1
1,30.009803921568626,Clustered,5471,PPAT,_FINAL_SUB1
1,30.009803921568626,Clustered,2203,FBP1,_FINAL_SUB1
1,30.009803921568626,Clustered,10476,ATP5PD,_FINAL_SUB1
1,30.009803921568626,Clustered,1352,COX10,_FINAL_SUB1
1,30.009803921568626,Clustered,1355,COX15,_FINAL_SUB1
1,30.009803921568626,Clustered,4716,NDUFB10,_FINAL_SUB1
1,30.009803921568626,Clustered,5226,PGD,_FINAL_SUB1
1,30.009803921568626,Clustered,6390,SDHB,_FINAL_SUB1
1,30.009803921568626,Clustered,513,ATP5F1D,_FINAL_SUB1
1,30.009803921568626,Clustered,2805,GOT1,_FINAL_SUB1
1,30.009803921568626,Clustered,26227,PHGDH,_FINAL_SUB1
1,30.009803921568626,Clustered,4725,NDUFS5,_FINAL_SUB1
1,30.009803921568626,Clustered,4724,NDUFS4,_FINAL_SUB1
1,30.009803921568626,Clustered,374291,NDUFS7,_FINAL_SUB1
1,30.009803921568626,Clustered,539,ATP5PO,_FINAL_SUB1
1,30.009803921568626,Clustered,223,ALDH9A1,_FINAL_SUB1
1,30.009803921568626,Clustered,1337,COX6A1,_FINAL_SUB1
1,30.009803921568626,Clustered,2539,G6PD,_FINAL_SUB1
1,30.009803921568626,Clustered,2645,GCK,_FINAL_SUB1
1,30.009803921568626,Clustered,4723,NDUFV1,_FINAL_SUB1
1,30.009803921568626,Clustered,498,ATP5F1A,_FINAL_SUB1
1,30.009803921568626,Clustered,4535,ND1,_FINAL_SUB1
1,30.009803921568626,Clustered,132,ADK,_FINAL_SUB1
1,30.009803921568626,Clustered,4698,NDUFA5,_FINAL_SUB1
1,30.009803921568626,Clustered,5091,PC,_FINAL_SUB1
1,30.009803921568626,Clustered,4144,MAT2A,_FINAL_SUB1
1,30.009803921568626,Clustered,6652,SORD,_FINAL_SUB1
