_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-4.3,TRR01256,M1,1,0,TRRUST,34,Regulated by: SP1,,-4.3,2.6,4.7,30182,524,487,22,4.5,0.94,100|189|847|2203|2356|3939|4144|4695|4723|4729|4942|4953|5033|5160|5424|5425|5427|7298|7358|8879|9615|26227,ADA|AGXT|CAT|FBP1|FPGS|LDHA|MAT2A|NDUFA2|NDUFV1|NDUFV2|OAT|ODC1|P4HA1|PDHA1|POLD1|POLD2|POLE2|TYMS|UGDH|SGPL1|GDA|PHGDH,-2.5,0
1,-3.5,TRR00869,M1,1,0,TRRUST,34,Regulated by: NFE2L2,,-3.5,12,6.3,30182,21,487,4,0.82,0.41,847|2937|4524|6390,CAT|GSS|MTHFR|SDHB,-1.8,0
1,-3.3,TRR01406,M1,1,0,TRRUST,34,Regulated by: TFDP1,,-3.3,19,7.1,30182,10,487,3,0.62,0.35,1719|6240|7298,DHFR|RRM1|TYMS,-1.7,0
1,-2.9,TRR00484,M1,1,0,TRRUST,34,Regulated by: HIF1A,,-2.9,4.4,4.3,30182,99,487,7,1.4,0.54,445|2023|2597|2645|3939|5230|6390,ASS1|ENO1|GAPDH|GCK|LDHA|PGK1|SDHB,-1.4,0
1,-2.8,TRR01512,M1,1,0,TRRUST,34,Regulated by: USF1,,-2.8,4.8,4.3,30182,78,487,6,1.2,0.5,189|2203|2645|5033|5624|7298,AGXT|FBP1|GCK|P4HA1|PROC|TYMS,-1.3,0
1,-2.1,TRR00230,M1,1,0,TRRUST,34,Regulated by: E2F1,,-2.1,3.1,3.1,30182,142,487,7,1.4,0.54,1719|6118|6240|6241|7298|51477|84172,DHFR|RPA2|RRM1|RRM2|TYMS|ISYNA1|POLR1B,-0.75,0
1,-2,TRR00780,M1,1,0,TRRUST,34,Regulated by: MYC,,-2,3.4,3.2,30182,111,487,6,1.2,0.5,445|3939|4953|5230|5625|6470,ASS1|LDHA|ODC1|PGK1|PRODH|SHMT1,-0.71,0
1,-2,TRR00908,M1,1,0,TRRUST,34,Regulated by: NR3C1,,-2,4.7,3.4,30182,53,487,4,0.82,0.41,4128|4512|5742|6898,MAOA|COX1|PTGS1|TAT,-0.67,0
1,-1.9,TRR00872,M1,1,0,TRRUST,34,Regulated by: NFIC,,-1.9,6.2,3.6,30182,30,487,3,0.62,0.35,211|5425|5427,ALAS1|POLD2|POLE2,-0.62,0
1,-1.9,TRR01513,M1,1,0,TRRUST,34,Regulated by: USF2,,-1.9,4.3,3.2,30182,57,487,4,0.82,0.41,498|2203|5033|5624,ATP5F1A|FBP1|P4HA1|PROC,-0.58,0
1,-1.7,TRR01268,M1,1,0,TRRUST,34,Regulated by: SREBF1,,-1.7,5.3,3.3,30182,35,487,3,0.62,0.35,47|2224|23175,ACLY|FDPS|LPIN1,-0.48,0
1,-1.4,TRR01062,M1,1,0,TRRUST,34,Regulated by: PPARG,,-1.4,3.2,2.5,30182,77,487,4,0.82,0.41,38|847|2645|2710,ACAT1|CAT|GCK|GK,-0.25,0
1,-1.4,TRR00674,M1,1,0,TRRUST,34,Regulated by: KLF4,,-1.4,4,2.6,30182,47,487,3,0.62,0.35,3067|4695|4953,HDC|NDUFA2|ODC1,-0.21,0
