File_name,Hsap_IMR90iPSCs_CPCs_1G_Rep1,Hsap_IMR90iPSCs_CPCs_1G_Rep2,Hsap_IMR90iPSCs_CPCs_1G_Rep3,Hsap_IMR90iPSCs_CPCs_suG_Rep1,Hsap_IMR90iPSCs_CPCs_suG_Rep2,Hsap_IMR90iPSCs_CPCs_suG_Rep3,Hsap_TK6cells_LCL_1G_Rep1_SRR1805693,Hsap_TK6cells_LCL_1G_Rep2_SRR1805694,Hsap_TK6cells_LCL_suG_Rep1_SRR1805691,Hsap_TK6cells_LCL_suG_Rep2_SRR1805692,Pre1 - Normalized means,Pre2 - Normalized means,Pre3 - Normalized means,Flight1 - Normalized means,Flight2 - Normalized means,Flight3 - Normalized means,Flight4 - Normalized means,Post1 - Normalized means,Post2 - Normalized means,Post3 - Normalized means,Post4 - Normalized means
Accession_Number,OSD-127,OSD-127,OSD-127,OSD-127,OSD-127,OSD-127,OSD-91,OSD-91,OSD-91,OSD-91,JAXA6,JAXA6,JAXA6,JAXA6,JAXA6,JAXA6,JAXA6,JAXA6,JAXA6,JAXA6,JAXA6
Human_Readable_Name,Hsap_IMR90iPSCs_induced_cardiac_progenitor_cells_in_1G,Hsap_IMR90iPSCs_induced_cardiac_progenitor_cells_in_1G,Hsap_IMR90iPSCs_induced_cardiac_progenitor_cells_in_1G,Hsap_IMR90iPSCs_induced_cardiac_progenitor_cells_in_simulated_uG,Hsap_IMR90iPSCs_induced_cardiac_progenitor_cells_in_simulated_uG,Hsap_IMR90iPSCs_induced_cardiac_progenitor_cells_in_simulated_uG,Hsap_TK6_lymphoblastoid_cells_in_1G,Hsap_TK6_lymphoblastoid_cells_in_1G,Hsap_TK6_lymphoblastoid_cells_in_simulated_uG,Hsap_TK6_lymphoblastoid_cells_in_simulated_uG,Astronaut_pre-mission,Astronaut_pre-mission,Astronaut_pre-mission,Astronaut_Spaceflight_ISS,Astronaut_Spaceflight_ISS,Astronaut_Spaceflight_ISS,Astronaut_uG_ISS,Astroanut_post-mission,Astroanut_post-mission,Astroanut_post-mission,Astroanut_post-mission
Species,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens
Genotype,TK6,TK6,TK6,TK6,IMR90_iPSC,IMR90_iPSC,IMR90_iPSC,IMR90_iPSC,IMR90_iPSC,IMR90_iPSC,JAXA6,JAXA6,JAXA6,JAXA6,JAXA6,JAXA6,JAXA6,JAXA6,JAXA6,JAXA6,JAXA6
Tissue,lymphoblastoid_cells,lymphoblastoid_cells,lymphoblastoid_cells,lymphoblastoid_cells,cardiac_progenitor_cells,cardiac_progenitor_cells,cardiac_progenitor_cells,cardiac_progenitor_cells,cardiac_progenitor_cells,cardiac_progenitor_cells,Blood,Blood,Blood,Blood,Blood,Blood,Blood,Blood,Blood,Blood,Blood
Main Treatment (Mission),Ground_Study,Ground_Study,Ground_Study,Ground_Study,Ground_Study,Ground_Study,Ground_Study,Ground_Study,Ground_Study,Ground_Study,PreMission,PreMission,PreMission,Flight,Flight,Flight,Flight,PostMission,PostMission,PostMission,PostMission
Gravitational factor,1G,1G,uG,uG,1G,1G,1G,uG_in_RPM,uG_in_RPM,uG_in_RPM,1G,1G,1G,uG,uG,uG,uG,Return_to_1G,Return_to_1G,Return_to_1G,Return_to_1G
